РОДИТЕЛЬСКАЯ_ДИРЕКТОРИЯ	ТИП_ОБЪЕКТА	ИМЯ_ОБЪЕКТА	РАЗМЕР_В_БАЙТАХ
D:\Python_GB\HomeWork\Lesson_08	файл	ALL_INFO_DIR_Lesson_07.json	18549
D:\Python_GB\HomeWork\Lesson_08	файл	ALL_INFO_DIR_Lesson_07.pickle	8267
D:\Python_GB\HomeWork\Lesson_08	файл	ALL_INFO_DIR_Lesson_07_v1.csv	7156
D:\Python_GB\HomeWork\Lesson_08	файл	ALL_INFO_DIR_Lesson_07_v2.csv	5385
D:\Python_GB\HomeWork\Lesson_08	файл	csv_data.json	723
D:\Python_GB\HomeWork\Lesson_08	файл	csv_data.pickle	311
D:\Python_GB\HomeWork\Lesson_08	файл	csv_data_pickle.csv	311
D:\Python_GB\HomeWork\Lesson_08	файл	json_data.csv	101
D:\Python_GB\HomeWork\Lesson_08	файл	json_data.json	219
D:\Python_GB\HomeWork\Lesson_08	файл	json_data.pickle	142
D:\Python_GB\HomeWork\Lesson_08	файл	result.json	162
D:\Python_GB\HomeWork\Lesson_08	файл	result.pickle	138
D:\Python_GB\HomeWork\Lesson_08	файл	task_1.py	4596
D:\Python_GB\HomeWork\Lesson_08	файл	task_2.py	475
D:\Python_GB\HomeWork\Lesson_08	файл	test.py	3613
D:\Python_GB\HomeWork\Lesson_08	файл	test_2.py	3674
D:\Python_GB\HomeWork\Lesson_08	директория	file_conversion	30925
D:\Python_GB\HomeWork\Lesson_08\file_conversion	файл	functional.py	11928
D:\Python_GB\HomeWork\Lesson_08\file_conversion	файл	__init__.py	26
D:\Python_GB\HomeWork\Lesson_08\file_conversion	директория	__pycache__	18971
D:\Python_GB\HomeWork\Lesson_08\file_conversion\__pycache__	файл	functional.cpython-311.pyc	18778
D:\Python_GB\HomeWork\Lesson_08\file_conversion\__pycache__	файл	__init__.cpython-311.pyc	193
